Consecutivo,id,neighbourhood_b,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,minimum_nights,availability_30,number_of_reviews,cancellation_policy,host_since,24-hour check-in,Air conditioning/central air conditioning,Amazon Echo/Apple TV/DVD player/game console/Netflix/projector and screen/smart TV (i.e. non-basic electronics),BBQ grill/fire pit/propane barbeque,Balcony/patio or balcony,Beach view/beachfront/lake access/mountain view/ski-in ski-out/waterfront (i.e. great location/views),Breakfast,Cable TV/TV,Coffee maker/espresso machine,Cooking basics,Dishwasher/Dryer/Washer/Washer and dryer,Elevator,Exercise equipment/gym/private gym/shared gym,"Family/kid friendly, or anything containing 'children'",Free parking on premises/free street parking/outdoor parking/paid parking off premises/paid parking on premises,Garden or backyard/outdoor seating/sun loungers/terrace,Host greets you,Hot tub/jetted tub/private hot tub/sauna/shared hot tub/pool/private pool/shared pool,Internet/pocket wifi/wifi,Long_term_stays_allowed,Pets allowed/cat(s)/dog(s)/pets live on this property/other pet(s),Private_entrance,Self_check-in,Smoking_allowed,"Step-free access/wheelchair accessible, or anything containing 'accessible'",Suitable_for_events,Unnamed: 27,total_paid_amount,host_days_active
1,14714,Juarez,Apartment,Private room,2,1,1,1,478,287,2,15,0,strict,11/26/2009,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,,765,3497
2,22787,San Rafael,Hotel,Private room,2,1,1,1,1969,0,1,20,57,strict,3/3/2010,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,1969,3400
5,44616,Condesa,Hotel,Private room,16,9,9,1,1893,0,1,12,39,strict,8/9/2010,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,1893,3241
6,58955,Roma Norte,Apartment,Entire home/apt,2,1.5,1,1,1625,478,3,28,39,strict,11/9/2010,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,,2103,3149
7,61792,Condesa,House,Private room,2,1,1,1,956,287,2,30,51,moderate,11/26/2010,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,,1243,3132
8,67703,Hipodromo,Apartment,Entire home/apt,4,1,2,3,1816,0,2,26,39,strict,1/4/2011,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,1816,3093
9,70644,Coyoacan,Apartment,Entire home/apt,2,1,1,1,1051,1147,3,7,92,moderate,8/24/2010,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,,2198,3226
10,70737,Coyoacan,House,Entire home/apt,2,1,1,1,1128,1434,3,0,31,strict,8/24/2010,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,2562,3226
12,98378,Escandon,House,Entire home/apt,15,6,6,9,2500,1338,2,15,138,strict,4/18/2011,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,,5907,2989
13,99972,San Rafael,Hotel,Private room,2,1,1,1,2500,0,1,9,0,strict,3/3/2010,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,2753,3400
14,107078,Polanco,Apartment,Entire home/apt,2,1.5,1,1,2500,1243,4,26,8,strict,4/27/2011,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,,5353,2980
15,131610,Coyoacan,House,Private room,2,1,1,1,1568,0,1,0,0,flexible,5/31/2011,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,1568,2946
16,165772,San Miguel Chapultepec,House,Entire home/apt,14,4.5,4,10,1051,478,2,8,255,strict,7/7/2011,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,,1529,2909
17,171109,Napoles,Apartment,Private room,2,1,1,1,287,0,4,29,58,strict,7/13/2011,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,,287,2903
18,175504,Hipodromo,Hotel,Private room,2,1,1,1,1415,0,1,3,51,flexible,7/19/2011,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,,1415,2897
19,180808,Juarez,Apartment,Entire home/apt,2,1.5,1,1,1032,669,3,0,34,strict,9/7/2009,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,,1701,3577
20,187030,Condesa,Apartment,Entire home/apt,6,1,2,3,1625,0,4,23,91,moderate,7/31/2011,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,,1625,2885
21,187745,Condesa,Apartment,Entire home/apt,4,2,1,1,1816,0,2,29,24,strict,7/31/2011,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,,1816,2885
22,194937,Condesa,Apartment,Entire home/apt,3,1,1,1,1625,0,2,15,53,moderate,7/31/2011,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,1625,2885
23,198778,Condesa,Apartment,Entire home/apt,4,1,2,2,918,478,2,0,160,strict,8/14/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,,1396,2871
24,204887,Escandon,Apartment,Entire home/apt,2,1,1,1,803,300,3,28,23,moderate,8/20/2011,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,,1103,2865
25,216833,Hipodromo,Apartment,Entire home/apt,4,2.5,2,2,1300,0,5,29,1,flexible,9/6/2011,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,,1300,2848
26,217685,Hipodromo,Apartment,Entire home/apt,2,1,1,1,956,0,6,0,2,flexible,7/29/2010,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,956,3252
27,245507,Juarez,Apartment,Entire home/apt,3,1,1,1,1319,382,1,0,250,strict,10/13/2011,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,1701,2811
28,246057,Juarez,Apartment,Entire home/apt,5,2,2,4,1434,287,1,30,230,strict,10/13/2011,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,1721,2811
29,247543,Centro Historico,Apartment,Private room,1,1,1,1,574,191,3,1,79,strict,10/16/2011,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,,765,2808
30,252618,Roma Norte,Apartment,Private room,2,1,1,2,325,400,5,0,16,strict,10/23/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,725,2801
32,256555,San Miguel Chapultepec,House,Entire home/apt,14,4.5,4,10,1051,478,2,8,236,strict,7/7/2011,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,,1529,2909
33,261897,Roma Norte,Apartment,Entire home/apt,3,1,1,2,1185,574,2,11,322,moderate,11/5/2011,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,,1759,2788
34,271048,Anzures,Apartment,Entire home/apt,2,2,2,1,1740,0,5,0,13,strict,11/17/2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,1740,2776
36,281134,Condesa,Apartment,Entire home/apt,3,1,1,1,2500,0,1,25,6,strict,8/9/2010,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,2753,3241
37,287015,Roma Norte,Apartment,Private room,2,1,1,1,2500,0,7,29,3,strict,9/10/2011,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,,4779,2844
38,287940,Condesa,Apartment,Entire home/apt,2,1,1,1,956,0,1,12,257,flexible,12/12/2011,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,,956,2751
39,291804,Portales,Apartment,Private room,1,1,1,1,574,0,2,30,0,flexible,12/16/2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,574,2747
40,298873,Centro Historico,Apartment,Entire home/apt,4,2,2,2,1816,0,3,4,118,moderate,12/27/2011,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,,1816,2736
41,323030,Condesa,Apartment,Entire home/apt,4,1,2,3,918,478,2,0,175,strict,8/14/2011,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1396,2871
43,325812,Centro Historico,Apartment,Private room,2,1,1,2,650,363,3,23,102,flexible,1/28/2012,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,,1013,2704
44,326296,Florida,House,Private room,2,1.5,1,1,382,0,2,3,153,moderate,1/28/2012,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,,382,2704
45,326475,Roma Norte,House,Private room,2,1,1,1,650,0,1,12,69,strict,1/29/2012,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,,650,2703
48,329532,Vista Alegre,House,Private room,2,1,1,2,382,0,22,23,0,strict,2/1/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,382,2700
50,331788,Roma Norte,Apartment,Entire home/apt,2,1,1,1,1472,382,3,19,305,strict,2/2/2012,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,1854,2699
51,341479,Nonalco,Apartment,Entire home/apt,3,2,2,2,516,0,1,0,0,flexible,2/10/2012,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,,516,2691
54,350079,Roma Sur,Apartment,Private room,1,1,1,1,1051,229,5,30,0,strict,2/19/2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1280,2682
56,361316,Escandon,House,Private room,2,1,1,1,382,191,2,29,0,moderate,12/21/2011,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,,573,2742
57,362583,Cuauhtemoc,Apartment,Entire home/apt,4,2,2,2,1510,478,2,17,17,moderate,2/29/2012,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,1988,2672
